공고명,공고시작일,공고종료일,공고등록일
"화성동탄(2) 근린생활시설용지 재공급공고(근생71,72.73.74.75)",2019-09-05,2019-09-30,2019-09-05
다산신도시 생활대책용지 조합원모집 조합현황 안내,2019-08-27,2019-09-30,2019-08-27
다산신도시 지금지구 생활대책용지 공급공고,2019-08-21,2019-12-31,2019-08-21
다산신도시 진건지구 생활대책용지 공급공고,2019-08-21,2019-12-31,2019-08-21
화성동탄(2) 근린생활시설용지 및 근린상업용지 공급공고,2019-08-09,2019-08-21,2019-08-09
용인 기흥구갈3 택지개발지구 주차장용지 재공급 공고,2019-08-09,2019-08-23,2019-08-09
"화성동탄(2) 수의계약 공고 수정사항 안내(도시지원시설용지, 근린상업용지)",2019-07-08,2019-12-31,2019-07-08
화성동탄(2)택지개발사업 2단계 면적정산 안내문,2019-07-08,2019-12-31,2019-07-08
고덕국제화계획지구 일반상업용지 공급 공고,2019-06-27,2019-07-11,2019-06-27
화성동탄(2) 종교시설용지(종18) 공급공고,2019-06-17,2019-07-01,2019-06-17
"다산신도시 지금지구 상업용지 개찰결과(""19.5.31.공고분)",2019-06-13,2019-06-30,2019-06-13
"화성동탄(2) 도시지원시설용지 수의계약 공고(지원65, 지원70-1)",2019-06-12,2019-12-31,2019-06-12
다산신도시 지금지구 상업용지 [경기도시공사 공고 제2019-0148호(2019.5.31) 공공급고분] 세부 위치도,2019-06-04,2019-06-30,2019-06-04
다산신도시 지금지구 상업용지 공급공고,2019-05-31,2019-06-13,2019-05-31
"화성동탄(2) 도시지원시설용지(지원65, 지원70-1) 재공급공고",2019-05-27,2019-06-10,2019-05-27
"화성동탄(2) 근린생활시설용지(근생71,72,73,75) 공급공고",2019-05-20,2019-06-04,2019-05-20
다산신도시(지금) 상업용지 사전공급안내,2019-05-14,2019-06-30,2019-05-14
다산신도시 종교용지 개찰 결과 (2019.4.26 공고분),2019-05-10,2019-12-31,2019-05-10
다산신도시 진건 및 지금지구 점포겸용 단독주택용지 개찰결과(2019. 4.18 공급공고분),2019-05-02,2019-12-31,2019-05-02
다산신도시 지금지구 종교용지 공급공고,2019-04-26,2019-12-31,2019-04-26
남양주 다산신도시 진건 및 지금지구 점포겸용 단독주택용지 공급공고,2019-04-18,2019-04-30,2019-04-18
"화성동탄(2) 도시지원시설용지(지원65, 지원70-1) 공급공고",2019-05-13,2019-05-13,2019-04-15
화성동탄(2) 점포겸용 단독주택 용지 공급 공고,2018-10-05,2018-12-31,2018-10-05
화성동탄(2) 점포겸용 단독주택 용지 재공급 공고,2018-11-22,2018-12-31,2018-11-22
