연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2024-11,인천,549,205,(△344),632,641,1.01
2024-11,대전,853,915,1.07,1627,14719,9.05
2024-11,울산,902,214,(△688),727,2412,3.32
2024-11,경기,2348,2603,1.11,2381,9867,4.14
2024-11,충북,578,2430,4.20,425,14974,35.23
2024-11,충남,804,741,(△63),1165,11370,9.76
2024-11,전북,101,103,1.02,98,933,9.52
2024-12,서울,236,2507,10.62,564,6007,10.65
2024-12,부산,157,12,(△145),513,216,(△297)
2024-12,대구,101,11,(△90),420,271,(△149)
2024-12,인천,765,3017,3.94,777,14650,18.85
2024-12,세종,0,0,0.00,131,32,(△99)
2024-12,경기,2494,970,(△1524),2335,4206,1.80
2024-12,충북,287,2216,7.72,312,14480,46.41
